anahtar,adet,ornek_yazim,ilk_yer
"ماله",6,"مَالَهُ","2:264:11"
"لصدقات",6,"الصَّدَقَاتِ","2:271:3"
"والانعام",6,"وَالْاَنْعَامِ","3:14:15"
"وماويهم",6,"وَمَاْوٰيهُمُ","3:151:15"
"جاؤ࣒",6,"جَٓاؤُ࣒","3:184:8"
"ضلالا",6,"ضَلَالًا","4:60:29"
"اثارهم",6,"اٰثَارِهِمْ","5:46:3"
"موازينه",6,"مَوَازٖينُهُ","7:8:6"
"صالح",6,"صَالِحُ","7:77:9"
"وملائه",6,"وَمَلَا࣑ئِهٖ","7:103:9"
"لراحمين",6,"الرَّاحِمٖينَࣖ","7:151:11"
"هويه",6,"هَوٰيهُۚ","7:176:10"
"رؤ࣒سهم",6,"رُؤُ࣒سِهِمْ","14:43:3"
"بعباده",6,"بِعِبَادِهٖ","17:30:10"
"ارايت",6,"اَرَاَيْتَ","18:63:2"
"ويلنا",6,"وَيْلَنَٓا","21:14:3"
"عشرة",5,"عَشْرَةَ","2:60:12"
"يامركم",5,"يَاْمُرُكُمْ","2:67:7"
"وملئكته",5,"وَمَلٰٓئِكَتِهٖ","2:98:5"
"واحدا",5,"وَاحِدًاۚ","2:133:24"
"لرؤ࣒ف",5,"لَرَؤُ࣒فٌ","2:143:44"
"اموال",5,"اَمْوَالِ","2:188:13"
"قدره",5,"قَدَرُهُ","2:236:17"
"ينفق",5,"يُنْفِقُ","2:264:10"
"تظلمون",5,"تُظْلَمُونَ","2:272:28"
"بسيميهم",5,"بِسٖيمٰيهُمْۚ","2:273:18"
"احديهما",5,"اِحْدٰيهُمَا","2:282:68"
"رسله",5,"رُسُلِهٖࣞ","2:285:20"
"تاويله",5,"تَاْوٖيلِهٖۚ","3:7:26"
"ورضوان",5,"وَرِضْوَانٌ","3:15:19"
"او࣒تيتم",5,"اُو࣒تٖيتُمْ","3:73:17"
"موليكم",5,"مَوْلٰيكُمْۚ","3:150:3"
"ماويهم",5,"مَاْوٰيهُمْ","3:197:4"
"اباؤكم",5,"اٰبَٓاؤُ࣑كُمْ","4:11:56"
"جاؤ࣒ك",5,"جَٓاؤُ࣒كَ","4:62:9"
"فعلوه",5,"فَعَلُوهُ","4:66:13"
"صراطا",5,"صِرَاطًا","4:68:2"
"لسلام",5,"السَّلَامَ","4:94:15"
"اشده",5,"اَشُدَّهُۚ","6:152:11"
"واباؤكم",5,"وَاٰبَٓاؤُ࣑كُمْ","7:71:14"
"امراته",5,"امْرَاَتَهُؗ","7:83:4"
"وامطرنا",5,"وَاَمْطَرْنَا","7:84:1"
"اتيناه",5,"اٰتَيْنَاهُ","7:175:5"
"وممن",5,"وَمِمَّنْ","7:181:1"
"يعلموا",5,"يَعْلَمُٓوا","9:63:2"
"والقران",5,"وَالْقُرْاٰنِؕ","9:111:23"
"نريك",5,"نَرٰيكَ","11:27:8"
"لهتنا",5,"اٰلِهَتِنَا","11:53:10"
"قميصه",5,"قَمٖيصِهٖ","12:18:3"
"يشاؤ࣒ن",5,"يَشَٓاؤُ࣒نَؕ","16:31:11"
"وعظاما",5,"وَعِظَامًا","23:35:7"
"ءاله",5,"ءَاِلٰهٌ","27:60:21"
"باياتى",4,"بِاٰيَاتٖي","2:41:14"
"بقرة",4,"بَقَرَةًؕ","2:67:10"
"لحرث",4,"الْحَرْثَۚ","2:71:12"
"مسلمة",4,"مُسَلَّمَةٌ","2:71:13"
"لقدس",4,"الْقُدُسِؕ","2:87:16"
"والاسباط",4,"وَالْاَسْبَاطِ","2:136:14"
"لممترين",4,"الْمُمْتَرٖينَࣖ","2:147:7"
"وماتوا",4,"وَمَاتُوا","2:161:4"
"حلالا",4,"حَلَالًا","2:168:7"
"اباؤهم",4,"اٰبَٓاؤُ࣑هُمْ","2:170:17"
"اعتدى",4,"اعْتَدٰى","2:178:32"
"هديكم",4,"هَدٰيكُمْ","2:185:42"
"لمعتدين",4,"الْمُعْتَدٖينَ","2:190:13"
"اتنا",4,"اٰتِنَا","2:200:16"
"يؤاخذكم",4,"يُؤَاخِذُكُمُ","2:225:2"
"اتيتموهن",4,"اٰتَيْتُمُوهُنَّ","2:229:14"
"تبدوا",4,"تُبْدُوا","2:271:2"
"هديهم",4,"هُدٰيهُمْ","2:272:3"
"لاسلام",4,"الْاِسْلَامُࣞ","3:19:5"
"غلام",4,"غُلَامٌ","3:40:6"
"بالكتاب",4,"بِالْكِتَابِ","3:78:6"
"افغير",4,"اَفَغَيْرَ","3:83:1"
"واعتصموا",4,"وَاعْتَصِمُوا","3:103:1"
"وينهون",4,"وَيَنْهَوْنَ","3:104:9"
"وفضل",4,"وَفَضْلٍۙ","3:171:5"
"يضيع",4,"يُضٖيعُ","3:171:9"
"قياما",4,"قِيَامًا","3:191:4"
"عامل",4,"عَامِلٍ","3:195:8"
"بهتانا",4,"بُهْتَانًا","4:20:15"
"واتيناهم",4,"وَاٰتَيْنَاهُمْ","4:54:16"
"بعلمه",4,"بِعِلْمِهٖۚ","4:166:8"
"يشهدون",4,"يَشْهَدُونَؕ","4:166:10"
"عمله",4,"عَمَلُهُؗ","5:5:38"
"نعمته",4,"نِعْمَتَهُ","5:6:58"
"وامه",4,"وَاُمَّهُ","5:17:24"
"رجس",4,"رِجْسٌ","5:90:9"
"باذنى",4,"بِاِذْنٖي","5:110:34"
"واية",4,"وَاٰيَةً","5:114:17"
"يتوفيكم",4,"يَتَوَفّٰيكُمْ","6:60:3"
"ملكوت",4,"مَلَكُوتَ","6:75:4"
"فلنفسه",4,"فَلِنَفْسِهٖۚ","6:104:8"
"وصيكم",4,"وَصّٰيكُمُ","6:144:21"
"دعويهم",4,"دَعْوٰيهُمْ","7:5:3"
"سواتهما",4,"سَوْاٰتِهِمَا","7:20:10"
"ربالعالمين",4,"رَبِّالْعَالَمٖينَ","7:61:10"
"بسوء",4,"بِسُٓوءٍ","7:73:32"
"ارحم",4,"اَرْحَمُ","7:151:10"
"فتعالى",4,"فَتَعَالَى","7:190:9"
"يغلبوا",4,"يَغْلِبُوا","8:65:12"
"رضوا",4,"رَضُوا","9:58:9"
"يؤذون",4,"يُؤْذُونَ","9:61:3"
"واخرون",4,"وَاٰخَرُونَ","9:102:1"
"اتيها",4,"اَتٰيهَٓا","10:24:28"
"فسل",4,"فَسْـَٔلِ","10:94:8"
"خلفه",4,"خَلْفِهٖ","13:11:7"
"بحمده",4,"بِحَمْدِهٖ","13:13:3"
"شيطان",4,"شَيْطَانٍ","15:17:4"
"مسؤ࣒لا",4,"مَسْؤُ࣒لًا","17:34:17"
"بيمينه",4,"بِيَمٖينِهٖ","17:71:9"
"سببا",4,"سَبَبًاۙ","18:84:10"
"وامن",4,"وَاٰمَنَ","19:60:4"
"افرايت",4,"اَفَرَاَيْتَ","19:77:1"
"لهتكم",4,"اٰلِهَتَكُمْۚ","21:36:12"
"ونجيناه",4,"وَنَجَّيْنَاهُ","21:71:1"
"فاستجبنا",4,"فَاسْتَجَبْنَا","21:76:6"
"اباءهم",4,"اٰبَٓاءَهُمُ","23:68:9"
"ابائكم",4,"اٰبَٓائِكُمْ","24:61:22"
"اخوهم",4,"اَخُوهُمْ","26:106:4"
"راه",4,"رَاٰهُ","27:40:16"
"مالك",3,"مَالِكِ","1:4:1"
"ومتاع",3,"وَمَتَاعٌ","2:36:17"
"لغمام",3,"الْغَمَامَ","2:57:3"
"وادخلوا",3,"وَادْخُلُوا","2:58:11"
"اضرب",3,"اضْرِبْ","2:60:6"
"بعصاك",3,"بِعَصَاكَ","2:60:7"
"لحجر",3,"الْحَجَرَؕ","2:60:8"
"عصوا",3,"عَصَوْا","2:61:58"
"اتيناكم",3,"اٰتَيْنَاكُمْ","2:63:9"
"لبقر",3,"الْبَقَرَ","2:70:10"
"قتلتم",3,"قَتَلْتُمْ","2:72:2"
"كلام",3,"كَلَامَ","2:75:10"
"بئسما",3,"بِئْسَمَا","2:90:1"
"خلاق",3,"خَلَاقٍࣞ","2:102:66"
"تسلوا",3,"تَسْـَٔلُوا","2:108:4"
"مساجد",3,"مَسَاجِدَ","2:114:5"
"اياتك",3,"اٰيَاتِكَ","2:129:8"
"كسبتم",3,"كَسَبْتُمْۚ","2:134:10"
"نفرق",3,"نُفَرِّقُ","2:136:25"
"وليهم",3,"وَلّٰيهُمْ","2:142:6"
"بالناس",3,"بِالنَّاسِ","2:143:43"
"تقلب",3,"تَقَلُّبَ","2:144:3"
"قبلة",3,"قِبْلَةً","2:144:8"
"فول",3,"فَوَلِّ","2:144:10"
"شطر",3,"شَطْرَ","2:144:12"
"اتيت",3,"اَتَيْتَ","2:145:2"
"ويعلمكم",3,"وَيُعَلِّمُكُمُ","2:151:10"
"يقتل",3,"يُقْتَلُ","2:154:4"
"لقوة",3,"الْقُوَّةَ","2:165:25"
"وراوا",3,"وَرَاَوُا","2:166:8"
"باغ",3,"بَاغٍ","2:173:16"
"يكلمهم",3,"يُكَلِّمُهُمُ","2:174:21"
"والنبين",3,"وَالنَّبِيّٖنَۚ","2:177:18"
"واتى",3,"وَاٰتَى","2:177:19"
"لحر",3,"اَلْحُرُّ","2:178:9"
"والاقربين",3,"وَالْاَقْرَبٖينَ","2:180:12"
"لصيام",3,"الصِّيَامُ","2:183:6"
"مريضا",3,"مَرٖيضًا","2:184:6"
"ابوابها",3,"اَبْوَابِهَاࣕ","2:189:23"
"راسه",3,"رَاْسِهٖ","2:196:26"
"اباءكم",3,"اٰبَٓاءَكُمْ","2:200:7"
"تعجل",3,"تَعَجَّلَ","2:203:7"
"يردوكم",3,"يَرُدُّوكُمْ","2:217:33"
"لخمر",3,"الْخَمْرِ","2:219:3"
"والميسر",3,"وَالْمَيْسِرِؕ","2:219:4"
"باللغو",3,"بِاللَّغْوِ","2:225:4"
"يقيما",3,"يُقٖيمَا","2:229:20"
"اتيتم",3,"اٰتَيْتُمْ","2:233:55"
"ملكه",3,"مُلْكَهُ","2:247:38"
"افرغ",3,"اَفْرِغْ","2:250:7"
"ذوفضل",3,"ذُوفَضْلٍ","2:251:24"
"ورفع",3,"وَرَفَعَ","2:253:11"
"يشفع",3,"يَشْفَعُ","2:255:23"
"لغى",3,"الْغَيِّۚ","2:256:9"
"اتيه",3,"اٰتٰيهُ","2:258:10"
"وانظر",3,"وَانْظُرْ","2:259:43"
"فخذ",3,"فَخُذْ","2:260:18"
"واعناب",3,"وَاَعْنَابٍ","2:266:9"
"اغنياء",3,"اَغْنِيَٓاءَ","2:273:14"
"موعظة",3,"مَوْعِظَةٌ","2:275:28"
"كاتب",3,"كَاتِبٌ","2:282:13"
"تخفوه",3,"تُخْفُوهُ","2:284:14"
"وكتبه",3,"وَكُتُبِهٖ","2:285:13"
"وارحمنا",3,"وَارْحَمْنَاࣞ","2:286:43"
"ذوانتقام",3,"ذُوانْتِقَامٍ","3:4:17"
"بنصره",3,"بِنَصْرِهٖ","3:13:21"
"وبينه",3,"وَبَيْنَهُٓ","3:30:18"
"ففى",3,"فَفٖي","3:107:5"
"لانبياء",3,"الْاَنْبِيَٓاءَ","3:112:28"
"يضركم",3,"يَضُرُّكُمْ","3:120:14"
"لعاملين",3,"الْعَامِلٖينَؕ","3:136:15"
"اعقابكم",3,"اَعْقَابِكُمْؕ","3:144:16"
"فاتيهم",3,"فَاٰتٰيهُمُ","3:148:1"
"وماويه",3,"وَمَاْوٰيهُ","3:162:10"
"يحسبن",3,"يَحْسَبَنَّ","3:178:2"
"لوالدان",3,"الْوَالِدَانِ","4:7:5"
"خالدا",3,"خَالِدًا","4:14:9"
"ميثاقا",3,"مٖيثَاقًا","4:21:10"
"واعبدوا",3,"وَاعْبُدُوا","4:36:1"
"مواضعه",3,"مَوَاضِعِهٖ","4:46:7"
"واشد",3,"وَاَشَدَّ","4:66:26"
"فقاتلوا",3,"فَقَاتِلُٓوا","4:76:13"
"اينما",3,"اَيْنَمَا","4:78:1"
"يكادون",3,"يَكَادُونَ","4:78:34"
"يبيتون",3,"يُبَيِّتُونَۚ","4:81:16"
"يهاجروا",3,"يُهَاجِرُوا","4:89:13"
"جاؤ࣒كم",3,"جَٓاؤُ࣒كُمْ","4:90:10"
"ضربتم",3,"ضَرَبْتُمْ","4:94:5"
"يعدهم",3,"يَعِدُهُمْ","4:120:1"
"وقولهم",3,"وَقَوْلِهِمْ","4:155:11"
"واكلهم",3,"وَاَكْلِهِمْ","4:161:6"
"وايوب",3,"وَاَيُّوبَ","4:163:19"
"عبادته",3,"عِبَادَتِهٖ","4:172:14"
"ورضوانا",3,"وَرِضْوَانًاؕ","5:2:23"
"ويلتى",3,"وَيْلَتٰٓى","5:31:14"
"ومثله",3,"وَمِثْلَهُ","5:36:11"
"ولعبا",3,"وَلَعِبًا","5:57:10"
"ارجلهم",3,"اَرْجُلِهِمْؕ","5:66:16"
"ايمان",3,"اَيْمَانٌ","5:108:12"
"علام",3,"عَلَّامُ","5:109:14"
"وعنده",3,"وَعِنْدَهُ","6:59:1"
"تضرعا",3,"تَضَرُّعًا","6:63:9"
"انجينا",3,"اَنْجٰينَا","6:63:12"
"وغرتهم",3,"وَغَرَّتْهُمُ","6:70:7"
"ابائهم",3,"اٰبَٓائِهِمْ","6:87:2"
"قدروا",3,"قَدَرُوا","6:91:2"
"فصلنا",3,"فَصَّلْنَا","6:97:13"
"طلعها",3,"طَلْعِهَا","6:99:22"
"ثمره",3,"ثَمَرِهٖٓ","6:99:35"
"وتمت",3,"وَتَمَّتْ","6:115:1"
"صدره",3,"صَدْرَهُ","6:125:7"
"حقه",3,"حَقَّهُ","6:141:23"
"ايمانها",3,"اٖيمَانُهَا","6:158:23"
"بياتا",3,"بَيَاتًا","7:4:7"
"خلفاء",3,"خُلَفَٓاءَ","7:69:14"
"تمسوها",3,"تَمَسُّوهَا","7:73:31"
"فياخذكم",3,"فَيَاْخُذَكُمْ","7:73:33"
"عذاباليم",3,"عَذَابٌاَلٖيمٌ","7:73:34"
"تتخذون",3,"تَتَّخِذُونَ","7:74:11"
"ابلغتكم",3,"اَبْلَغْتُكُمْ","7:79:7"
"اتاتون",3,"اَتَاْتُونَ","7:80:5"
"تبخسوا",3,"تَبْخَسُوا","7:85:24"
"اشياءهم",3,"اَشْيَٓاءَهُمْ","7:85:26"
"وجاؤ࣒",3,"وَجَٓاؤُ࣒","7:116:9"
"والعاقبة",3,"وَالْعَاقِبَةُ","7:128:15"
"لرجز",3,"الرِّجْزُ","7:134:4"
"فاغرقناهم",3,"فَاَغْرَقْنَاهُمْ","7:136:3"
"واورثنا",3,"وَاَوْرَثْنَا","7:137:1"
"ترينى",3,"تَرٰينٖي","7:143:14"
"مكانه",3,"مَكَانَهُ","7:143:21"
"وكن",3,"وَكُنْ","7:144:13"
"لالواح",3,"الْاَلْوَاحِ","7:145:4"
"شئت",3,"شِئْتَ","7:155:13"
"لغافلون",3,"الْغَافِلُونَ","7:179:30"
"بكلماته",3,"بِكَلِمَاتِهٖ","8:7:20"
"وقلبه",3,"وَقَلْبِهٖ","8:24:17"
"واخرين",3,"وَاٰخَرٖينَ","8:60:15"
"يستو࣒ن",3,"يَسْتَوُ࣒نَ","9:19:17"
"سكينته",3,"سَكٖينَتَهُ","9:26:4"
"نوره",3,"نُورَهُ","9:32:12"
"ليظهره",3,"لِيُظْهِرَهُ","9:33:8"
"جاهد",3,"جَاهِدِ","9:73:3"
"استغفر",3,"اِسْتَغْفِرْ","9:80:1"
"اسس",3,"اُسِّسَ","9:108:6"
"ضره",3,"ضُرَّهُ","10:12:14"
"قران",3,"قُرْاٰنٍ","10:61:9"
"مبصرا",3,"مُبْصِرًاؕ","10:67:9"
"ننجى",3,"نُنَجّٖي","10:103:2"
"ظلمناهم",3,"ظَلَمْنَاهُمْ","11:101:2"
"بتاويله",3,"بِتَاْوٖيلِهٖۚ","12:36:23"
"كيل",3,"كَيْلَ","12:60:6"
"جزاؤه",3,"جَزَٓاؤُ࣑هُٓ","12:74:3"
"روح",3,"رَوْحِ","12:87:11"
"لشيء",3,"لِشَيْءٍ","16:40:3"
"ويجعلون",3,"وَيَجْعَلُونَ","16:56:1"
"ومتاعا",3,"وَمَتَاعًا","16:80:23"
"وجعلناه",3,"وَجَعَلْنَاهُ","17:2:4"
"انعمنا",3,"اَنْعَمْنَا","17:83:2"
"فانطلقا",3,"فَانْطَلَقَاࣞ","18:71:1"
"لقرنين",3,"الْقَرْنَيْنِؕ","18:83:4"
"فردا",3,"فَرْدًا","19:80:5"
"انست",3,"اٰنَسْتُ","20:10:8"
"لعله",3,"لَعَلَّهُ","20:44:5"
"كناظالمين",3,"كُنَّاظَالِمٖينَ","21:14:5"
"واباءهم",3,"وَاٰبَٓاءَهُمْ","21:44:4"
"لكرب",3,"الْكَرْبِ","21:76:11"
"وجعلناها",3,"وَجَعَلْنَاهَا","21:91:8"
"جعلناها",3,"جَعَلْنَاهَا","22:36:2"
"واباؤنا",3,"وَاٰبَٓاؤُ࣑نَا","23:83:4"
"فجعلناه",3,"فَجَعَلْنَاهُ","25:23:7"
"فجعله",3,"فَجَعَلَهُ","25:54:7"
"يستعجلون",3,"يَسْتَعْجِلُونَ","26:204:2"
"امه",3,"اُمِّهٖ","28:13:3"
"شيعته",3,"شٖيعَتِهٖ","28:15:14"
"يلقيها",3,"يُلَقّٰيهَٓا","28:80:14"
"كفره",3,"كُفْرُهُۚ","30:44:4"
"شاهدا",3,"شَاهِدًا","33:45:5"
"خلقناهم",3,"خَلَقْنَاهُمْ","37:11:9"
"جاؤ࣒ها",3,"جَٓاؤُ࣒هَا","39:71:9"
"وانهار",3,"وَاَنْهَارٌ","47:15:12"
"والاو࣒لى",3,"وَالْاُو࣒لٰىࣖ","53:25:3"
"يره",3,"يَرَهُٓ","90:7:4"
"يستحى",2,"يَسْتَحْيٖٓ","2:26:4"
"ميثاقه",2,"مٖيثَاقِهٖࣕ","2:27:7"
"امواتا",2,"اَمْوَاتًا","2:28:5"
"علىالعالمين",2,"عَلَىالْعَالَمٖينَ","2:47:11"
"والفرقان",2,"وَالْفُرْقَانَ","2:53:5"
"بارئكم",2,"بَارِئِكُمْ","2:54:14"
"وظللنا",2,"وَظَلَّلْنَا","2:57:1"
"والسلوى",2,"وَالسَّلْوٰىؕ","2:57:7"
"حطة",2,"حِطَّةٌ","2:58:15"
"نغفر",2,"نَغْفِرْ","2:58:16"
"فبدل",2,"فَبَدَّلَ","2:59:1"
"اثنتا",2,"اثْنَتَا","2:60:11"
"مشربهم",2,"مَشْرَبَهُمْؕ","2:60:18"
"وضربت",2,"وَضُرِبَتْ","2:61:38"
"لذلة",2,"الذِّلَّةُ","2:61:40"
"وباؤ࣒",2,"وَبَٓاؤُ࣒","2:61:42"
"قردة",2,"قِرَدَةً","2:65:11"
"خاسين",2,"خَاسِـٖٔينَۚ","2:65:12"
"فجعلناها",2,"فَجَعَلْنَاهَا","2:66:1"
"نكالا",2,"نَكَالًا","2:66:2"
"تؤمرون",2,"تُؤْمَرُونَ","2:68:23"
"ويريكم",2,"وَيُرٖيكُمْ","2:73:8"
"امانى",2,"اَمَانِيَّ","2:78:7"
"كتبت",2,"كَتَبَتْ","2:79:19"
"يردون",2,"يُرَدُّونَ","2:85:41"
"وايدناه",2,"وَاَيَّدْنَاهُ","2:87:14"
"كذبتم",2,"كَذَّبْتُمْؗ","2:87:26"
"غلف",2,"غُلْفٌؕ","2:88:3"
"عرفوا",2,"عَرَفُوا","2:89:20"
"نزله",2,"نَزَّلَهُ","2:97:7"
"يفرقون",2,"يُفَرِّقُونَ","2:102:38"
"اشتريه",2,"اشْتَرٰيهُ","2:102:60"
"يختص",2,"يَخْتَصُّ","2:105:18"
"برحمته",2,"بِرَحْمَتِهٖ","2:105:19"
"ود",2,"وَدَّ","2:109:1"
"ليست",2,"لَيْسَتِ","2:113:3"
"بديع",2,"بَدٖيعُ","2:117:1"
"ترضى",2,"تَرْضٰى","2:120:2"
"تموتن",2,"تَمُوتُنَّ","2:132:14"
"لهك",2,"اِلٰهَكَ","2:133:17"
"واله",2,"وَاِلٰهَ","2:133:18"
"تهتدوا",2,"تَهْتَدُواؕ","2:135:6"
"صبغة",2,"صِبْغَةَ","2:138:1"
"قبلتهم",2,"قِبْلَتِهِمُ","2:142:8"
"لتكونوا",2,"لِتَكُونُوا","2:143:5"
"وحيث",2,"وَحَيْثُ","2:144:15"
"فولوا",2,"فَوَلُّوا","2:144:18"
"شطره",2,"شَطْرَهُؕ","2:144:20"
"بتابع",2,"بِتَابِـعٍ","2:145:13"
"يعرفونه",2,"يَعْرِفُونَهُ","2:146:4"
"خرجت",2,"خَرَجْتَ","2:149:3"
"استعينوا",2,"اسْتَعٖينُوا","2:153:4"
"اموات",2,"اَمْوَاتٌؕ","2:154:8"
"ونقص",2,"وَنَقْصٍ","2:155:6"
"اصابتهم",2,"اَصَابَتْهُمْ","2:156:3"
"حج",2,"حَجَّ","2:158:8"
"تطوع",2,"تَطَوَّعَ","2:158:19"
"والفلك",2,"وَالْفُلْكِ","2:164:9"
"يزكيهم",2,"يُزَكّٖيهِمْۚ","2:174:26"
"حبه",2,"حُبِّهٖ","2:177:22"
"لباساء",2,"الْبَاْسَٓاءِ","2:177:42"
"بالانثى",2,"بِالْاُنْثٰىؕ","2:178:14"
"لوصية",2,"اَلْوَصِيَّةُ","2:180:10"
"سمعه",2,"سَمِعَهُ","2:181:5"
"فعدة",2,"فَعِدَّةٌ","2:184:10"
"فليستجيبوا",2,"فَلْيَسْتَجٖيبُوا","2:186:12"
"عاكفون",2,"عَاكِفُونَۙ","2:187:51"
"ظهورها",2,"ظُهُورِهَا","2:189:15"
"ثقفتموهم",2,"ثَقِفْتُمُوهُمْ","2:191:3"
"والفتنة",2,"وَالْفِتْنَةُ","2:191:8"
"عدوان",2,"عُدْوَانَ","2:193:12"
"واحسنوا",2,"وَاَحْسِنُواۚۛ","2:195:10"
"استيسر",2,"اسْتَيْسَرَ","2:196:8"
"رؤ࣒سكم",2,"رُؤُ࣒سَكُمْ","2:196:13"
"رجعتم",2,"رَجَعْتُمْؕ","2:196:55"
"فسوق",2,"فُسُوقَ","2:197:11"
